time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1.3	1	0.19635	lidar	3.08297e-321	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.736493	0.62436	4.03238	-0.0539357	0.159002	radar	21.6652	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.972195	0.568657	4.21154	-0.42722	0.120027	lidar	3.27082	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.21637	0.52525	4.79991	0.0431956	0.36129	radar	4.49931	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.50942	0.561678	4.89037	0.0702128	0.338976	lidar	1.493	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.7787	0.553857	5.26567	0.0517431	0.424025	radar	1.24004	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.07448	0.587893	5.31098	0.0825457	0.444571	lidar	0.974427	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.29857	0.635011	5.19134	0.148699	0.579633	radar	1.65777	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.57408	0.672038	5.22524	0.161541	0.517742	lidar	0.374751	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.8476	0.66403	5.26472	0.10791	0.240012	radar	0.442609	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.08975	0.678853	5.24036	0.105756	0.192031	lidar	0.429815	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.38443	0.570964	5.28893	-0.0621366	-0.340113	radar	2.85844	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.69427	0.468357	5.36373	-0.185674	-0.631448	lidar	3.86784	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.97186	0.546301	5.42585	-0.0684414	-0.239202	radar	3.14134	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
